ID,Studies,Publication title,Reference,Publication year,Replicates,Region,Country,Climate,Latitude (N positive; S negative),Longitude (E positive; W negative),Annual average precipitation (mm),Annual average temperature,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),Nitrogen content (%),H2O_pH,EF (%),N rate (kg N/ha),Ecosystem
2132,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.162378641,412,Cropland
2133,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.049636364,550,Cropland
2134,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.251830986,355,Cropland
2135,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.023061224,490,Cropland
2136,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.183529412,340,Cropland
2137,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,1.137012987,154,Cropland
2138,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.388501742,287,Cropland
2139,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.506015038,399,Cropland
2140,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.303024575,529,Cropland
2141,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.236666667,120,Cropland
2142,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.76974359,195,Cropland
2143,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.051928783,337,Cropland
2144,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.394623656,279,Cropland
2145,289,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,Rosa et al.,2018,4,Oceania,Australia,Subtropical,-27.53,152.32,750,20,18,22,60,1.5,0.12,7.8,0.162807882,406,Cropland
2146,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-28.99,153.28,1030,19.4,NA,NA,NA,7.7,0.6,5.7,0.022222222,90,Cropland
2147,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-28.99,153.28,1030,19.4,NA,NA,NA,7.7,0.6,5.7,0.033333333,90,Cropland
2148,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-28.99,153.28,1030,19.4,NA,NA,NA,7.7,0.6,5.7,0.022222222,90,Cropland
2149,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-29.07,153.45,1030,19.6,NA,NA,NA,4.3,0.3,6.3,1.644444444,90,Cropland
2150,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-29.07,153.45,1030,19.6,NA,NA,NA,4.3,0.3,6.3,1.166666667,90,Cropland
2151,290,No evidence for higher agronomic N use efficiency or lower nitrous oxide emissions from enhanced efficiency fertilisers in aerobic subtropical rice,Rose et al. ,2018,3,Oceania,Australia,Subtropical,-29.07,153.45,1030,19.6,NA,NA,NA,4.3,0.3,6.3,1.644444444,90,Cropland
2152,291,Greenhouse gas fluxes from agricultural soils of Kenya and Tanzania,Rosenstock et al.,2016,3,Africa,Kenya ,Tropical,0.02,35.05,2708,16.7,70,10.9,19,3.42,0.33,4.1,0.526315789,114,Cropland
2153,291,Greenhouse gas fluxes from agricultural soils of Kenya and Tanzania,Rosenstock et al.,2016,3,Africa,Kenya ,Tropical,0.02,35.05,2708,16.7,66.3,8.9,24.7,2.94,0.26,5.2,0.267857143,112,Cropland
2154,292,Are the benefits of yield responses to nitrogen fertilizer application in the bioenergy crop Miscanthus × giganteus offset by increased soil,Roth et al.,2014,4,Europe,Ireland,Temperate,52.85,-6.90,830,9.3,NA,NA,NA,NA,NA,6.8,0.634920635,63,Cropland
2155,292,Are the benefits of yield responses to nitrogen fertilizer application in the bioenergy crop Miscanthus × giganteus offset by increased soil,Roth et al.,2014,4,Europe,Ireland,Temperate,52.85,-6.90,830,9.3,NA,NA,NA,NA,NA,6.8,0.472,125,Cropland
2156,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,10.898,50,Cropland
2157,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,4.426666667,150,Cropland
2158,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,2.671111111,90,Cropland
2159,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,1.858333333,180,Cropland
2160,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,1.613846154,65,Cropland
2161,293,Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",2001,5,Europe,Germany,Temperate,48.50,11.35,833,7.4,23,55,22,1.48,0.16,6.8,1.626153846,130,Cropland
2162,294,Denitrification loss from a grassland soil in the field receiving different rates of nitrogen as ammonium nitrate,Ryden,1983,5,Europe,UK,Temperate,51.75,-1.25,1105,11,57.7,12.7,29.6,3.47,0.23,6.3,1.64,250,Grassland
2163,294,Denitrification loss from a grassland soil in the field receiving different rates of nitrogen as ammonium nitrate,Ryden,1983,5,Europe,UK,Temperate,51.75,-1.25,1105,11,57.7,12.7,29.6,3.47,0.23,6.3,1.72,500,Grassland
2164,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.03,90,Cropland
2165,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,-0.121111111,90,Cropland
2166,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.173333333,90,Cropland
2167,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.194444444,90,Cropland
2168,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.261111111,90,Cropland
2169,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.094444444,90,Cropland
2170,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.374444444,90,Cropland
2171,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.09,90,Cropland
2172,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,-0.004477612,67,Cropland
2173,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.219402985,67,Cropland
2174,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.265671642,67,Cropland
2175,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.207462687,67,Cropland
2176,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.358208955,67,Cropland
2177,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.18358209,67,Cropland
2178,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.550746269,67,Cropland
2179,295,"Soil Greenhouse Gas Emissions Aff ected by Irrigation, Tillage, Crop Rotation, and Nitrogen Fertilization",Sainju et al. 2012 Journal of environment quality,2012,3,North America,USA,Temperate,48.1,-103.1,373,2.8,72,12,16,1.18,NA,7.7,0.401492537,67,Cropland
2180,296,Inﬂuence of drip and furrow irrigation systems on nitrogen,Sanchez-Martin et al.,2008,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.3,1.302857143,175,Cropland
2181,296,Inﬂuence of drip and furrow irrigation systems on nitrogen,Sanchez-Martin et al.,2008,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.3,0.428571429,175,Cropland
2182,297,The importance of the fallow period for N2O and CH4 fluxes and nitrate leaching in a Mediterranean irrigated agroecosystem,Sanchez-Martin et al.,2010,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.3,0.609090909,110,Cropland
2183,297,The importance of the fallow period for N2O and CH4 fluxes and nitrate leaching in a Mediterranean irrigated agroecosystem,Sanchez-Martin et al.,2010,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.3,0.709090909,110,Cropland
2184,297,The importance of the fallow period for N2O and CH4 fluxes and nitrate leaching in a Mediterranean irrigated agroecosystem,Sanchez-Martin et al.,2010,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.3,0.536363636,110,Cropland
2185,298,Combination of drip irrigation and organic fertilizer for mitigating emissions of nitrogen oxides in semiarid climate,Sanchez-Martin et al.,2010,3,Europe,Spain,Temperate,40.53,-3.28,400,13.2,55,17,28,0.82,NA,7.5,0.194285714,175,Cropland
2186,298,Combination of drip irrigation and organic fertilizer for mitigating emissions of nitrogen oxides in semiarid climate,Sanchez-Martin et al.,2010,3,Europe,Spain,Temperate,40.53,-3.28,400,13.2,55,17,28,0.82,NA,7.5,0.897142857,175,Cropland
2187,299,"Effect of plowing on CO2, CO, CH4, N2O, and NO fluxes from tropical savannah soils. ",Sanhueza et al.,1994,3,South America,Venezuela,Tropical,8.88,-67.32,1464,27.6,NA,NA,NA,1.102,NA,4.6,0.0051984,600,Grassland
2188,300,Gaseous emissions of N2O and NO and NO3 leaching from urea applied with urease and nitrification inhibitors to a maize (zea mays) crop,Sanz-Cobena et al.,2012,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.9,0.616,250,Cropland
2189,300,Gaseous emissions of N2O and NO and NO3 leaching from urea applied with urease and nitrification inhibitors to a maize (zea mays) crop,Sanz-Cobena et al.,2012,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,NA,7.9,0.412,250,Cropland
2190,301,Non-linear response of soil N2O emissions to nitrogen fertiliser in a cotton–fallow rotation in sub-tropical Australia,Scheer et al. 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-27.52,151.78,630,20,6,16,76,1.6,0.16,7.3,0.133333333,90,Cropland
2191,301,Non-linear response of soil N2O emissions to nitrogen fertiliser in a cotton–fallow rotation in sub-tropical Australia,Scheer et al. 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-27.52,151.78,630,20,6,16,76,1.6,0.16,7.3,0.288888889,180,Cropland
2192,301,Non-linear response of soil N2O emissions to nitrogen fertiliser in a cotton–fallow rotation in sub-tropical Australia,Scheer et al. 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-27.52,151.78,630,20,6,16,76,1.6,0.16,7.3,0.496296296,270,Cropland
2193,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,44,1.9,NA,8,0.37625,80,Cropland
2194,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,44,1.9,NA,8,0.1975,80,Cropland
2195,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,44,1.9,NA,8,0.011666667,60,Cropland
2196,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.48,150.18,681,16.8,NA,NA,44,1.9,NA,8,0.08026145,40,Cropland
2197,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.48,150.18,681,16.8,NA,NA,44,1.9,NA,8,0.06081185,80,Cropland
2198,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.48,150.18,681,16.8,NA,NA,44,1.9,NA,8,0.109392113,160,Cropland
2199,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.48,150.18,681,16.8,NA,NA,44,1.9,NA,8,0.030020475,80,Cropland
2200,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.17,150.81,681,16.8,NA,NA,44,1.9,NA,8,0.418221667,30,Cropland
2201,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.17,150.81,681,16.8,NA,NA,44,1.9,NA,8,0.4517825,60,Cropland
2202,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.17,150.81,681,16.8,NA,NA,44,1.9,NA,8,0.364318333,90,Cropland
2203,302,"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives",Schwenke et al. 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.17,150.81,681,16.8,NA,NA,44,1.9,NA,8,0.179960833,60,Cropland
2204,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,54,1.2,NA,8.3,1.54506125,80,Cropland
2205,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,54,1.2,NA,8.3,2.381974375,160,Cropland
2206,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.49,150.49,681,16.8,NA,NA,81,1,NA,8.3,0.669528375,80,Cropland
2207,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.49,150.49,681,16.8,NA,NA,81,1,NA,8.3,0.409871063,160,Cropland
2208,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,54,1.2,NA,8.3,0.61575,40,Cropland
2209,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,54,1.2,NA,8.3,0.543390833,120,Cropland
2210,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,3,Oceania,Australia,Subtropical,-31.15,150.98,681,16.8,NA,NA,54,1.2,NA,8.3,0.4637175,200,Cropland
2211,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,1.44352,40,Cropland
2212,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,2.8851,80,Cropland
2213,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,1.815775,120,Cropland
2214,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,1.66849375,160,Cropland
2215,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,2.23108,200,Cropland
2216,303,"The interaction of seasonal rainfall and nitrogen fertiliser rate on soil N2O emission, total N loss and crop yield of dryland sorghum and sunflower grown on sub-tropical Vertosols",Schwenke & Haigh 2016 Soil Research,2016,4,Oceania,Australia,Subtropical,-31.52,150.6,681,16.8,NA,NA,81,1,NA,8.3,2.722479167,240,Cropland
2217,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.108333333,120,Cropland
2218,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.233333333,240,Cropland
2219,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.16969697,330,Cropland
2220,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.141666667,120,Cropland
2221,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.116666667,240,Cropland
2222,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.121212121,330,Cropland
2223,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.112,375,Cropland
2224,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.167676768,495,Cropland
2225,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.176576577,555,Cropland
2226,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.222764228,615,Cropland
2227,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.119369369,444,Cropland
2228,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.09929078,564,Cropland
2229,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.096153846,624,Cropland
2230,304,Nitrous oxide emissions from multiple combined applications of fertiliser and cattle slurry to grassland,Schils et al.,2008,3,Europe,Netherlands,Temperate,51.98,5.65,724,10.6,NA,NA,21.25,2.03,NA,6.6,0.147660819,684,Cropland
2231,305,Contribution of nitrification and denitrification to nitrous oxide emissions from soils after application of biogas waste and other fertilizers,Senbayram et al.,2009,3,Europe,Germany,Temperate,54.3,10,824,8.4,89,6,5,3.95,0.22,6.1,0.11,480,Grassland
2232,305,Contribution of nitrification and denitrification to nitrous oxide emissions from soils after application of biogas waste and other fertilizers,Senbayram et al.,2009,3,Europe,Germany,Temperate,54.3,10,824,8.4,89,6,5,3.95,0.22,6.1,0.378333333,480,Grassland
2233,305,Contribution of nitrification and denitrification to nitrous oxide emissions from soils after application of biogas waste and other fertilizers,Senbayram et al.,2009,3,Europe,Germany,Temperate,54.3,10,824,8.4,89,6,5,3.95,0.22,6.1,0.336666667,480,Grassland
2234,306,Emission of N2O from biogas crop production systems in Northern Germany,"Senbayram M, et al. ",2014,3,Europe,Germany,Temperate,53.9,9.9,1040,10.3,91,2,1,4.5,0.3,6.4,0.0875,160,Grassland
2235,306,Emission of N2O from biogas crop production systems in Northern Germany,"Senbayram M, et al. ",2014,3,Europe,Germany,Temperate,53.9,9.9,1040,10.3,91,2,1,4.5,0.3,6.4,0.189583333,480,Grassland
